Firm,Year,red,blue,Employment,MarketCap,num_days_nxt,total_return_nxt,num_days,total_return,sectorNo,sectorNote,MarketLeader,n_competitor,n_closecomp,CloseLeader,CloseCompetitor,n_investment,estimated_USD,estimated_TL,D,DeltaD,have_inv
AYCES,1998,0,1,226,3615300000000.0005,222,0.6960499402179083,244,-0.18038169197612786,49,otel restoran,FALSE,5,2,0,TRUE,5,557270.3754404892,174500,1,NA,TRUE
AYGAZ,1998,0,1,646,195000000000000,236,1.6300243668425065,247,0.09387888019160351,31,gaz,TRUE,1,0,1,FALSE,14,29846873.989074603,7717839,1,NA,TRUE
BAGFS,1998,0,0,474,295000000000000,236,0.8880718923100375,247,-0.12711172642374824,33,gubre,TRUE,4,0,1,FALSE,0,0,0,0,NA,FALSE
BANVT,1998,0,1,1334,220000000000000,236,1.5917839720035716,247,0.9325332299755964,30,et urunleri,FALSE,6,0,1,FALSE,0,0,0,1,NA,FALSE
BEKO,1998,0,1,1790,74200000000000,236,1.8716922268059724,247,-0.5645783250664107,3,Beyazesya,FALSE,7,1,0,TRUE,6,15596651.18667776,4033000,1,NA,TRUE
BERDN,1998,0,0,1419,22880000000000,236,1.2192402764567243,247,0.1023655747744705,62,son giyilecek clothes tekstil,FALSE,12,2,0,TRUE,3,669195.4248512418,27893155810,0,NA,TRUE
BFREN,1998,0,0,214,10755072000000,236,1.1651329710096738,247,-0.35667494393873445,1,Araba,FALSE,8,3,0,TRUE,0,0,0,0,NA,FALSE
BISAS,1998,0,0,352,2760000000000,194,-0.07629159616275363,247,0.3983166940096322,29,entegre her seviye tekstil,FALSE,3,0,1,FALSE,0,0,0,0,NA,FALSE
BOLUC,1998,1,1,297,30220330972500,236,1.7670519534686706,247,-0.01613010603096221,20,cimento,FALSE,16,3,0,TRUE,1,773451.5837678036,200000,1,NA,TRUE
BOSSA,1998,0,0,362,21150000000000,236,1.6156080063475318,247,-0.30514415738453904,62,son giyilecek clothes tekstil,FALSE,12,3,0,TRUE,4,996824.4011599452,257760,0,NA,TRUE
BRISA,1998,0,1,1374,113488593750000,235,1.5865716871243443,247,-0.7051550084301557,44,lastikler,FALSE,2,0,1,FALSE,0,0,0,1,NA,FALSE
BRMEN,1998,0,0,1467,4437000000000,235,0.7971363940841174,247,-0.17544867750619053,25,dogal ip tekstil,FALSE,6,1,0,TRUE,1,1120855.09713295,289832,0,NA,TRUE
BROVA,1998,0,0,181,6210000000000,236,2.176500609898365,247,-0.5407357295844697,39,insaat isleri,FALSE,3,0,1,FALSE,0,0,0,0,NA,FALSE
BRSAN,1998,0,1,972,9090000000000,236,1.8826661789308345,247,-0.11977412705305901,16,boru,TRUE,2,0,1,FALSE,0,0,0,1,NA,FALSE
BRYAT,1998,0,1,11,6500000000000,236,1.8191594434166725,247,-0.32550910655209053,8,Holdingler ve yatirim sirketleri,FALSE,16,2,1,TRUE,0,0,0,1,NA,FALSE
BSPRO,1998,0,1,332,40520250000000,236,2.0469141850598724,247,-0.4914645446873318,3,Beyazesya,FALSE,7,2,0,TRUE,2,31909414.1239607,8251173,1,NA,TRUE
BTCIM,1998,0,1,444,81750000000000,236,1.3988164263026537,247,-0.6914878653628991,20,cimento,FALSE,16,4,0,TRUE,0,0,0,1,NA,FALSE
BUCIM,1998,1,0,299,105815808000000,236,1.350470757769535,247,0.38303343079804786,20,cimento,FALSE,16,4,0,TRUE,2,14324478.02169648,3704040,0,NA,TRUE
BUMYO,1998,0,0,7,573750000000,236,1.4552872326068405,247,-0.5508314583795655,46,menkul kiymet yatirim ortakliklari,FALSE,14,5,0,TRUE,0,0,0,0,NA,FALSE
BURCE,1998,0,0,330,7938000000000,235,1.0810631790287202,247,-0.35290978690414565,22,demir dokum,FALSE,4,1,1,TRUE,1,725940.2880719807,450000,0,NA,TRUE
BYRBY,1998,0,1,418,142025e11,236,1.1687498774568743,247,-0.326630534434063,17,boya,TRUE,7,0,1,FALSE,1,60053696.87620308,15528754000000,1,NA,TRUE
BYSAN,1998,0,0,NA,6975000000000.001,89,-0.45198512374305744,247,-0.8028525889405207,13,ara ureticiler tekstil,FALSE,12,5,0,TRUE,0,0,0,0,NA,FALSE
CARSI,1998,0,1,1473,161700000000000,236,1.6056571895941916,247,-0.3011925279809693,32,giyim magazası,TRUE,2,0,1,FALSE,0,0,0,1,NA,FALSE
CBSBO,1998,1,0,199,2131999999999.9998,235,1.056052674249314,247,-0.24783616390458119,17,boya,FALSE,7,0,1,FALSE,1,773494.1236049108,200011,0,NA,TRUE
CELHA,1998,0,0,299,7877485000000,236,1.2542716726840653,247,-0.4824132459352378,34,halat,TRUE,1,0,1,FALSE,0,0,0,0,NA,FALSE
CEMTS,1998,0,0,390,10598400000000,236,1.1271453920471999,247,-0.7960951498123885,22,demir dokum,FALSE,4,2,0,TRUE,4,15018783.394112159,7847000,0,NA,TRUE
CEYLN,1998,0,0,126,6204900000000,236,0.5671064596645801,247,0.5442281166891251,13,ara ureticiler tekstil,FALSE,12,5,0,TRUE,0,0,0,0,NA,FALSE
CIMSA,1998,0,1,465,48438000000000,236,2.0287875071308816,247,-0.4021600524237263,20,cimento,FALSE,16,5,0,TRUE,3,2140350.0750216832,1278217,1,NA,TRUE
CLEBI,1998,0,0,1102,24000000000000,236,1.231371778514048,247,-0.5281918213239976,37,havayolu,FALSE,2,0,1,FALSE,0,0,0,0,NA,FALSE
CMBTN,1998,0,0,445,2301000000000,236,1.3867117573084686,247,-0.07851491261736775,20,cimento,FALSE,16,1,1,TRUE,0,0,0,0,NA,FALSE
CMENT,1998,0,1,882,84000000000000,234,1.2878542883066435,245,0.22312355151420626,20,cimento,FALSE,16,4,0,TRUE,7,1745583.5431159616,451375,1,NA,TRUE
COMUN,1998,0,1,131,4785000000000,236,1.679222867722952,247,-0.20868627396389838,61,sigorta sirketleri,FALSE,7,0,1,FALSE,0,0,0,1,NA,FALSE
CUKEL,1998,0,0,540,285e15,233,0.684493653636137,247,-0.47720847586279014,27,elektrik gaz su,TRUE,2,0,1,FALSE,0,0,0,0,NA,FALSE
CYTAS,1998,0,1,488,13680000000000,232,1.3605418650174759,246,-0.8821724881075921,25,dogal ip tekstil,FALSE,6,1,1,TRUE,0,0,0,1,NA,FALSE
DARDL,1998,0,0,1338,46425600000000,234,0.9288695140810153,247,-1.1685790879836992,30,et urunleri,FALSE,6,0,1,FALSE,0,0,0,0,NA,FALSE
DEMIR,1998,0,0,2018,256e15,236,1.5793995206075424,247,-0.3967485883667994,2,Bankalar,TRUE,16,0,1,FALSE,1,30000000,7757434.500000001,0,NA,TRUE
DENCM,1998,0,0,955,3520000000000.0005,236,1.1503883443029634,247,-0.1078889620111837,19,cam,FALSE,4,0,1,FALSE,1,7534915.054712998,1948387,0,NA,TRUE
DERIM,1998,0,1,193,12375000000000,233,1.2272296664902034,247,-0.9716328344964285,23,deri isleri tekstil,TRUE,1,0,1,FALSE,0,0,0,1,NA,FALSE
DEVA,1998,0,1,829,31500000000000,236,0.9932517730102819,247,-0.3364722366212125,26,ecza,TRUE,2,1,0,TRUE,0,0,0,1,NA,FALSE
DISBA,1998,0,1,1368,83000000000000,236,1.4943685826493152,247,0.1788251979255393,2,Bankalar,FALSE,16,4,0,TRUE,0,0,0,1,NA,FALSE
DITAS,1998,0,0,450,4856250000000,236,1.3401845716617018,246,0.06665113010275658,1,Araba,FALSE,8,2,1,TRUE,0,0,0,0,NA,FALSE
DMRYO,1998,1,0,3,1001250000000,236,0.18962085927555972,247,0.4278332554063953,5,GYOlar fln,FALSE,2,1,1,TRUE,0,0,0,0,NA,FALSE
DMSAS,1998,0,0,497,23000000000000,236,0.9286707123680504,247,-0.2914211176196333,22,demir dokum,TRUE,4,1,0,TRUE,0,0,0,0,NA,FALSE
DOGUB,1998,0,0,156,14896000000000,231,1.1660535694636425,241,-1.2162018172311133,20,cimento,FALSE,16,3,0,TRUE,0,0,0,0,NA,FALSE
DOHOL,1998,0,1,80,890000000000000,236,2.4542181945825594,247,-0.12188234237007656,8,Holdingler ve yatirim sirketleri,FALSE,16,4,0,TRUE,0,0,0,1,NA,FALSE
DOKTS,1998,0,1,1318,19920000000000,236,1.4306361297402839,247,-0.39370489373681106,22,demir dokum,FALSE,4,2,0,TRUE,0,0,0,1,NA,FALSE
DUROF,1998,0,1,163,3360000000000,234,1.1755733298042381,247,-1.2119409739751128,53,paper products,FALSE,9,2,0,TRUE,0,0,0,1,NA,FALSE
ECILC,1998,0,1,807,30151440000000,236,1.4564146233209407,247,0.32850406697203605,26,ecza,FALSE,2,1,1,TRUE,1,3480532.126955116,900000,1,NA,TRUE
ECYAP,1998,0,1,1792,13000000000000,236,1.7014568111543507,247,-0.4486938426589826,39,insaat isleri,FALSE,3,0,1,FALSE,6,1806961.0711794659,507091,1,NA,TRUE
ECZYT,1998,0,1,4,110880000000000,236,1.6404612571829078,247,0.9514115521205568,8,Holdingler ve yatirim sirketleri,FALSE,16,1,0,TRUE,0,0,0,1,NA,FALSE
EDIP,1998,1,0,1109,28305000000000,230,1.118979591492545,246,-0.46802642895928614,25,dogal ip tekstil,TRUE,6,1,0,TRUE,1,4784880.87782114,1237280,0,NA,TRUE
