Firm,Year,Employment
ARAT,1999,872
ARCLK,1999,6394
ARFYO,1999,3
ARSAN,1999,1089
ASELS,1999,2849
ASLAN,1999,201
ASUZU,1999,732
ATAYO,1999,2
ATLAS,1999,5
ATSYO,1999,3
AVRSY,1999,2
AYCES,1999,181
AYGAZ,1999,656
BAGFS,1999,443
BAKAB,1999,341
BANVT,1999,1778
BEKO,1999,1728
BERDN,1999,1106
BFREN,1999,193
BISAS,1999,310
BOLUC,1999,299
BOSSA,1999,2882
BRISA,1999,1218
BRMEN,1999,1438
BROVA,1999,48
BRSAN,1999,1036
BRYAT,1999,13
BSOKE,1999,269
BSPRO,1999,2788
BTCIM,1999,427
BUCIM,1999,291
BUMYO,1999,7
BURCE,1999,295
BYRBY,1999,215
BYSAN,1999,
CARSI,1999,1804
CBSBO,1999,164
CELHA,1999,357
CEMTS,1999,329
CEYLN,1999,109
CIMSA,1999,513
CLEBI,1999,781
CMBTN,1999,350
CMENT,1999,705
COMUN,1999,133
CUKEL,1999,461
CYTAS,1999,457
DARDL,1999,1338
DEMIR,1999,2521
DENCM,1999,894
DERIM,1999,136
DEVA,1999,792
DISBA,1999,1627
DITAS,1999,385
DMRYO,1999,3
DMSAS,1999,517
DOBUR,1999,226
DOHOL,1999,88
DOKTS,1999,1538
DUROF,1999,164
DYHOL,1999,35
ECBYO,1999,2
ECILC,1999,823
ECYAP,1999,1755
ECZYT,1999,4
EDIP,1999,1124
EFES,1999,45
EGBRA,1999,490
EGDIS,1999,121
EGEEN,1999,285
EGGUB,1999,170
EGHOL,1999,66
EGIYM,1999,39
EGPRO,1999,187
EGSER,1999,1058
EMEK,1999,99
EMKEL,1999,240
EMNIS,1999,125
ENKAI,1999,21
EPLAS,1999,501
ERBOS,1999,434
EREGL,1999,6348
ERSU,1999,89
ESEMS,1999,140
EVREN,1999,4
FACFA,1999,31
FENIS,1999,358
FFKRL,1999,65
FINBN,1999,2029
FMIZP,1999,373
FRIGO,1999,601
FROTO,1999,3195
GARAN,1999,5105
GDKYO,1999,2
GEDIZ,1999,374
GENTS,1999,256
GIMA,1999,1863
GLBYO,1999,3
GLMDE,1999,368
GOLDS,1999,172
GOLTS,1999,554
GOODY,1999,1505
GORBN,1999,218
GRNYO,1999,3
GSDHO,1999,18
GUBRF,1999,577
GUMUS,1999,1329
GUNEY,1999,218
GUSGR,1999,350
HEKTS,1999,236
HLKSG,1999,391
HURGZ,1999,95
HZNDR,1999,96
IDAS,1999,547
IHEVA,1999,677
IHFIN,1999,799
IHLAS,1999,2035
IKTFN,1999,43
INTEM,1999,275
ISAMB,1999,363
ISBTR,1999,15867
ISGEN,1999,46
ISYAT,1999,4
IZMDC,1999,569
IZOCM,1999,314
KAPLM,1999,124
KARSN,1999,610
KARTN,1999,327
KAVPA,1999,6
KCHOL,1999,175
KEPEZ,1999,150
KERVT,1999,1070
KIPA,1999,784
KLBMO,1999,462
KLMSN,1999,317
KNFRT,1999,159
KONYA,1999,170
KORDS,1999,892
KOTKS,1999,838
KRDMD,1999,5139
KRSTL,1999,191
KRTEK,1999,750
KUTPO,1999,1815
LIOYS,1999,156
LOGO,1999,218
LUKSK,1999,134
MAALT,1999,175
MAKTK,1999,51
MARET,1999,240
MDRNU,1999,1565
MEDYA,1999,218
MEMSA,1999,1496
MERKO,1999,304
METAS,1999,15
MIGRS,1999,6310
MILYT,1999,44
MIPAZ,1999,86
MMART,1999,720
MRDIN,1999,198
MRSHL,1999,600
MTEKS,1999,158
MUTLU,1999,495
MYZYO,1999,3
MZHLD,1999,25
NERGS,1999,59
NETAS,1999,1227
NIGDE,1999,149
NTHOL,1999,43
NTTUR,1999,748
NUHCM,1999,493
OKANT,1999,223
OLMKS,1999,403
OTKAR,1999,512
OZFIN,1999,9
PARSN,1999,451
PASTA,1999,183
PENGD,1999,495
PETKM,1999,6779
PIMAS,1999,242
PINSU,1999,321
PKENT,1999,100
PNET,1999,593
PNSUT,1999,932
PNUN,1999,47
POLYL,1999,883
PRKAB,1999,475
PRKTE,1999,538
PTOFS,1999,6042
RAKSE,1999,491
RANTL,1999,29
RAYSG,1999,182
RKSEV,1999,281
SABAH,1999,453
SAHOL,1999,229
SAPAZ,1999,44
SARKY,1999,546
SASA,1999,3056
SELGD,1999,414
SERVE,1999,95
SEZGD,1999,959
SIFAS,1999,1579
SISE,1999,354
SKBNK,1999,3141
SKPLC,1999,829
SKTAS,1999,1433
SNPAM,1999,795
SODA,1999,948
SOKSA,1999,154
SONME,1999,552
SVGSH,1999,27
SYBNK,1999,139
TACYO,1999,9
TATKS,1999,1257
TEBNK,1999,1405
TEKST,1999,1012
TEZSN,1999,5
THYAO,1999,11514
TIRE,1999,628
TKBNK,1999,940
TNSAS,1999,5122
TOASO,1999,3966
TOPFN,1999,38
TPBNK,1999,3253
TPFAC,1999,31
TRCAS,1999,185
TRNSK,1999,51
TSKB,1999,360
TUDDF,1999,938
TUKAS,1999,618
TUMTK,1999,
TUPRS,1999,4344
UCAK,1999,1359
UKIM,1999,1373
UNTAR,1999,120
UNYEC,1999,227
USAK,1999,234
UZEL,1999,2156
VAKFN,1999,64
