Firm,Year,Employment
LIOYS,2002,125
LOGO,2002,204
LUKSK,2002,133
MAALT,2002,146
MAKTK,2002,251
MARET,2002,228
MEDYA,2002,5
MEGES,2002,99
MEMSA,2002,1532
MERKO,2002,225
METAS,2002,3
METUR,2002,29
MIGRS,2002,5926
MILYT,2002,38
MIPAZ,2002,75
MMART,2002,800
MNDRS,2002,2717
MRDIN,2002,250
MRSHL,2002,461
MTEKS,2002,233
MUTLU,2002,492
MYZYO,2002,2
MZHLD,2002,17
NERGS,2002,64
NETAS,2002,537
NIGDE,2002,138
NTHOL,2002,34
NTTUR,2002,170
NUHCM,2002,400
OKANT,2002,201
OLMKS,2002,626
OTKAR,2002,609
OZFIN,2002,6
PARSN,2002,484
PASTA,2002,167
PENGD,2002,328
PETKM,2002,4537
PETUN,2002,605
PIMAS,2002,164
PINSU,2002,156
PKENT,2002,92
PNSUT,2002,634
POLYL,2002,1622
PRKAB,2002,452
PRKTE,2002,325
PRTAS,2002,54
PTOFS,2002,1029
RAKSE,2002,211
RAYSG,2002,189
RKSEV,2002,111
SABAH,2002,2
SAHOL,2002,204
SANKO,2002,145
SAPAZ,2002,6
SARKY,2002,529
SASA,2002,2524
SELGD,2002,261
SERVE,2002,90
SIFAS,2002,1390
SISE,2002,352
SKBNK,2002,2948
SKPLC,2002,825
SKTAS,2002,1398
SNPAM,2002,778
SODA,2002,1017
SONME,2002,594
SYBYO,2002,2
TACYO,2002,3
TATKS,2002,2124
TBORG,2002,301
TCELL,2002,2169
TEBNK,2002,1673
TEKFK,2002,14
TEKST,2002,840
TEKTU,2002,174
THYAO,2002,11084
TIRE,2002,765
TKBNK,2002,836
TOPFN,2002,18
TPFAC,2002,17
TRCAS,2002,188
TRNSK,2002,22
TSKB,2002,302
TUDDF,2002,459
TUKAS,2002,1056
TUMTK,2002,208
TUPRS,2002,4590
UCAK,2002,1009
UKIM,2002,1035
UNTAR,2002,19
UNYEC,2002,211
USAK,2002,207
UZEL,2002,1260
VAKFN,2002,33
VAKKO,2002,656
VANET,2002,87
VESTL,2002,2957
VKFRS,2002,5
VKFYT,2002,5
VKING,2002,410
YATAS,2002,545
YAZIC,2002,3
YKBNK,2002,10404
YKFIN,2002,68
YKRYO,2002,3
YKSGR,2002,546
YTFYO,2002,3
YUNSA,2002,553
ZOREN,2002,144
ABANA,2003,4
ACIBD,2003,1184
ADANA,2003,364
ADEL,2003,242
AEFES,2003,1008
AFYON,2003,106
AKALT,2003,1363
AKBNK,2003,9964
AKCNS,2003,863
AKENR,2003,184
AKGRT,2003,407
AKIPD,2003,1045
AKSA,2003,633
AKSUE,2003,21
AKYO,2003,3
ALARK,2003,35
ALCAR,2003,756
ALCTL,2003,340
ALFA,2003,78
ALKA,2003,226
ALKIM,2003,135
ALNTF,2003,519
ALTIN,2003,1586
ALYAG,2003,167
ANACM,2003,1776
ANHYT,2003,294
ANSGR,2003,399
ARAT,2003,841
ARCLK,2003,6902
ARENA,2003,177
ARFYO,2003,4
ARSAN,2003,1117
ASELS,2003,2910
ASLAN,2003,254
ASLAN,2003,254
ASUZU,2003,524
ATAYO,2003,2
ATEKS,2003,1706
ATSYO,2003,3
AYCES,2003,183
AYEN,2003,68
AYGAZ,2003,957
BAGFS,2003,343
BAKAB,2003,323
BANVT,2003,1953
BEKO,2003,3217
BERDN,2003,921
BFREN,2003,184
BISAS,2003,320
BJKAS,2003,53
BOLUC,2003,256
BOSSA,2003,1850
BRISA,2003,1158
BRMEN,2003,1705
BROVA,2003,117
BRSAN,2003,909
BRYAT,2003,12
BSOKE,2003,274
BSPRO,2003,2406
BTCIM,2003,352
BUCIM,2003,267
BUMYO,2003,5
BURCE,2003,267
BURVA,2003,145
BYSAN,2003,451
CARSI,2003,1782
CBSBO,2003,93
CELHA,2003,225
CEMTS,2003,256
CEYLN,2003,128
CIMSA,2003,454
CLEBI,2003,812
CMBTN,2003,92
CMENT,2003,313
CMLOJ,2003,62
COMUN,2003,162
CYTAS,2003,382
DARDL,2003,890
DENCM,2003,820
DENTA,2003,368
DERIM,2003,58
DESA,2003,816
DEVA,2003,1045
DISBA,2003,3403
DITAS,2003,472
DMSAS,2003,578
DNZYO,2003,3
DOAS,2003,91
DOBUR,2003,333
DOHOL,2003,110
DOKTS,2003,1851
DUROF,2003,161
DYHOL,2003,57
DYOBY,2003,937
ECBYO,2003,1
ECILC,2003,891
ECYAP,2003,1750
ECZYT,2003,4
EDIP,2003,1098
EFES,2003,21
EGEEN,2003,440
EGFIN,2003,4
EGGUB,2003,174
EGIYM,2003,12
EGPRO,2003,217
EGSER,2003,1047
EMKEL,2003,71
EMNIS,2003,105
ENKAI,2003,14984
EPLAS,2003,371
ERBOS,2003,346
EREGL,2003,6616
ERSU,2003,130
ESCOM,2003,103
ESEMS,2003,186
FENIS,2003,354
FFKRL,2003,58
FINBN,2003,3923
FMIZP,2003,24
FNSYO,2003,2
FRIGO,2003,412
FROTO,2003,5948
FVORI,2003,300
GARAN,2003,8145
GARFA,2003,20
GDKYO,2003,3
GEDIZ,2003,365
GENTS,2003,285
GEREL,2003,93
GIMA,2003,3466
GLMDE,2003,282
GOLDS,2003,257
GOLTS,2003,378
GOODY,2003,1496
GRNYO,2003,3
GSDHO,2003,26
GSRAY,2003,7
GUBRF,2003,434
GUSGR,2003,327
HEKTS,2003,203
HZNDR,2003,134
IDAS,2003,463
IHEVA,2003,328
IHLAS,2003,779
INDES,2003,283
INFYO,2003,4
INTEM,2003,222
IPMAT,2003,364
ISAMB,2003,116
ISBTR,2003,15550
ISFIN,2003,49
ISYAT,2003,4
IZOCM,2003,342
KAPLM,2003,110
KARSN,2003,835
KARTN,2003,288
KAVPA,2003,4
KCHOL,2003,152
KENT,2003,1683
KERVT,2003,513
KIPA,2003,1475
KLBMO,2003,226
KLMSN,2003,463
KNFRT,2003,120
KONYA,2003,133
KORDS,2003,811
KOTKS,2003,715
KOZAD,2003,44
KRDMD,2003,3665
KRSTL,2003,102
KRTEK,2003,832
KUTPO,2003,760
LINK,2003,99
LIOYS,2003,139
LOGO,2003,200
LUKSK,2003,140
MAALT,2003,132
MAKTK,2003,230
MEGES,2003,94
MEMSA,2003,828
MERKO,2003,249
METUR,2003,2
MIGRS,2003,6460
MILYT,2003,154
MIPAZ,2003,52
MMART,2003,740
MNDRS,2003,3508
MRDIN,2003,251
MRSHL,2003,445
MTEKS,2003,190
MUTLU,2003,479
MYZYO,2003,1
NERGS,2003,62
NETAS,2003,537
NTHOL,2003,36
NTTUR,2003,58
NUHCM,2003,433
OKANT,2003,159
OLMKS,2003,598
OTKAR,2003,798
OYSAC,2003,199
OZFIN,2003,6
PARSN,2003,546
PENGD,2003,308
PETKM,2003,4212
PETUN,2003,552
PIMAS,2003,132
PINSU,2003,156
PKENT,2003,96
PNSUT,2003,685
POLYL,2003,756
PRKAB,2003,295
PRKTE,2003,308
PRTAS,2003,55
PTOFS,2003,953
RAKSE,2003,253
RAYSG,2003,192
RKSEV,2003,147
SABAH,2003,4
SAHOL,2003,185
SANKO,2003,138
SAPAZ,2003,2
SARKY,2003,543
SASA,2003,2398
SELGD,2003,283
SERVE,2003,86
SIFAS,2003,1298
SISE,2003,363
SKBNK,2003,3002
SKPLC,2003,827
SKTAS,2003,1361
SNPAM,2003,789
SODA,2003,981
SONME,2003,482
TACYO,2003,4
TATKS,2003,1398
TBORG,2003,289
TCELL,2003,2148
TEBNK,2003,1849
TEKFK,2003,15
TEKST,2003,908
TEKTU,2003,165
THYAO,2003,10683
TIRE,2003,821
TKBNK,2003,783
TNSAS,2003,4212
TOASO,2003,844
TOPFN,2003,13
TPFAC,2003,15
TRCAS,2003,188
TRNSK,2003,21
TSKB,2003,277
TSKYO,2003,2
TUDDF,2003,597
TUKAS,2003,1055
TUMTK,2003,1047
TUPRS,2003,4586
UCAK,2003,1134
UKIM,2003,1042
ULKER,2003,1888
UNTAR,2003,5
UNYEC,2003,188
USAK,2003,218
UZEL,2003,1348
VAKFN,2003,35
VAKKO,2003,673
VANET,2003,70
VESTL,2003,3397
VKFRS,2003,5
VKFYT,2003,5
VKING,2003,268
YATAS,2003,398
YAZIC,2003,3
YKBNK,2003,10542
YKFIN,2003,71
YKRYO,2003,4
YKSGR,2003,539
YTFYO,2003,3
YUNSA,2003,803
ZOREN,2003,209
ABANA,2004,5
ACIBD,2004,1810
ADANA,2004,355
ADEL,2004,248
AEFES,2004,999
AFMAS,2004,372
AFYON,2004,104
AKALT,2004,1220
AKBNK,2004,10413
AKCNS,2004,898
AKENR,2004,292
AKGRT,2004,445
AKIPD,2004,1046
AKMGY,2004,3
AKSA,2004,634
AKSUE,2004,20
AKYO,2004,3
ALARK,2004,35
ALCAR,2004,756
ALCTL,2004,287
ALKA,2004,227
ALKIM,2004,135
ALNTF,2004,547
ALTIN,2004,1404
ALYAG,2004,169
ANACM,2004,1739
ANHYT,2004,245
ANSGR,2004,522
ARAT,2004,484
ARCLK,2004,8376
ARENA,2004,204
ARFYO,2004,3
ARSAN,2004,856
ASELS,2004,3014
ASLAN,2004,245
ASUZU,2004,734
ATAYO,2004,2
ATLAS,2004,2
ATSYO,2004,3
AVIVA,2004,170
AVRSY,2004,3
AYCES,2004,190
AYEN,2004,75
AYGAZ,2004,1001
BAGFS,2004,326
BAKAB,2004,334
BANVT,2004,2167
BEKO,2004,3726
BERDN,2004,900
BFREN,2004,197
BISAS,2004,318
BJKAS,2004,65
BOLUC,2004,212
BOSSA,2004,1941
BOYNR,2004,2034
BRISA,2004,1364
BRMEN,2004,1686
BROVA,2004,47
BRSAN,2004,1175
BRYAT,2004,15
BSOKE,2004,280
BSPRO,2004,2685
BTCIM,2004,364
BUCIM,2004,266
BUMYO,2004,5
BURCE,2004,267
BURVA,2004,155
BYSAN,2004,418
CBSBO,2004,83
CELHA,2004,312
CEMTS,2004,264
CEYLN,2004,118
CIMSA,2004,433
CMBTN,2004,108
CMENT,2004,318
CMLOJ,2004,70
CYTAS,2004,298
DARDL,2004,1078
DENCM,2004,761
DENIZ,2004,4912
DENTA,2004,451
DERIM,2004,49
DESA,2004,831
DEVA,2004,1224
DGZTE,2004,143
DISBA,2004,3842
DITAS,2004,534
DMSAS,2004,609
DNZYO,2004,3
DOAS,2004,452
DOBUR,2004,331
DOHOL,2004,107
DOKTS,2004,1856
DUROF,2004,168
DYHOL,2004,55
DYOBY,2004,793
ECBYO,2004,1
ECILC,2004,860
ECYAP,2004,2120
ECZYT,2004,4
EDIP,2004,1063
EFES,2004,20
EGEEN,2004,482
EGFIN,2004,5
EGGUB,2004,166
EGPRO,2004,406
EGSER,2004,1099
EGYIM,2004,10
EMKEL,2004,94
EMNIS,2004,105
ENKAI,2004,22530
EPLAS,2004,374
ERBOS,2004,362
EREGL,2004,7539
ERSU,2004,109
ESCOM,2004,116
ESEMS,2004,138
EVREN,2004,3
FACFA,2004,25
FENER,2004,7
FENIS,2004,424
FFKRL,2004,60
FINBN,2004,5469
FMIZP,2004,1
FNSYO,2004,3
FRIGO,2004,444
FROTO,2004,7722
FVORI,2004,300
GARAN,2004,9128
GARFA,2004,29
GDKYO,2004,3
GEDIZ,2004,311
GENTS,2004,274
GEREL,2004,136
GIMA,2004,3342
GLBYO,2004,29
GOLDS,2004,290
GOLTS,2004,429
GOODY,2004,1536
GSDHO,2004,25
GSRAY,2004,7
GUBRF,2004,439
GUSGR,2004,306
HEKTS,2004,250
HURGZ,2004,324
HZNDR,2004,110
IBTYO,2004,2
IDAS,2004,483
IHEVA,2004,276
IHLAS,2004,751
INDES,2004,299
INFYO,2004,4
INTEM,2004,237
IPMAT,2004,
ISAMB,2004,148
ISBTR,2004,16055
ISFIN,2004,62
ISGSY,2004,9
ISYAT,2004,4
IZOCM,2004,348
KAPLM,2004,158
KARSN,2004,957
KARTN,2004,283
KAVPA,2004,4
KCHOL,2004,162
KENT,2004,1658
KERVT,2004,429
KIPA,2004,1831
KLBMO,2004,247
KLMSN,2004,658
KNFRT,2004,134
KONYA,2004,137
KORDS,2004,806
KOTKS,2004,721
KOZAD,2004,47
KRDMD,2004,3561
KRSTL,2004,85
KRTEK,2004,790
KUTPO,2004,791
LINK,2004,86
LIOYS,2004,139
LOGO,2004,220
LUKSK,2004,142
MAALT,2004,291
MAKTK,2004,238
MEDYA,2004,9
MEGES,2004,90
MEMSA,2004,835
MERKO,2004,223
METUR,2004,3
MIGRS,2004,6749
MIPAZ,2004,43
MMART,2004,837
MNDRS,2004,3756
MRDIN,2004,299
MRSHL,2004,459
MTEKS,2004,198
MUTLU,2004,547
MYZYO,2004,1
MZHLD,2004,17
NERGS,2004,4
NETAS,2004,521
NTHOL,2004,45
NTTUR,2004,103
NUHCM,2004,450
OKANT,2004,10
OLMKS,2004,653
OTKAR,2004,869
OYSAC,2004,196
OZFIN,2004,4
PARSN,2004,612
PERYO,2004,2
PETKM,2004,3967
PETUN,2004,523
PIMAS,2004,134
PINSU,2004,150
PKART,2004,60
PKENT,2004,98
PNSUT,2004,710
POLYL,2004,1504
PRKAB,2004,224
PRKTE,2004,367
PRTAS,2004,14
PTOFS,2004,1068
RAKSE,2004,204
RAYSG,2004,202
RKSEV,2004,68
SABAH,2004,4
SAHOL,2004,184
SANKO,2004,136
SAPAZ,2004,1
SARKY,2004,580
SASA,2004,2234
SEKFK,2004,27
SELGD,2004,320
SERVE,2004,84
SIFAS,2004,1251
SISE,2004,389
SKBNK,2004,3430
SKPLC,2004,827
SKTAS,2004,1361
SNPAM,2004,630
SODA,2004,898
SONME,2004,398
TACYO,2004,4
TATKS,2004,1928
TBORG,2004,259
TCELL,2004,2440
TEBNK,2004,2131
TEKFK,2004,19
TEKST,2004,938
TEKTU,2004,136
THYAO,2004,10956
TIRE,2004,805
TKBNK,2004,770
TNSAS,2004,4693
TOPFN,2004,11
TRCAS,2004,184
TRNSK,2004,11
TSKB,2004,278
TSKYO,2004,2
TSPOR,2004,4
TTRAK,2004,944
TUDDF,2004,614
TUKAS,2004,760
TUMTK,2004,760
TUPRS,2004,4309
UCAK,2004,1172
UKIM,2004,1097
ULKER,2004,1145
UNTAR,2004,5
UNYEC,2004,218
USAK,2004,216
UZEL,2004,1520
VAKFN,2004,41
VAKKO,2004,688
VANET,2004,95
VARYO,2004,3
VESTL,2004,11286
VKFRS,2004,5
VKFYT,2004,5
VKING,2004,292
YATAS,2004,874
YAZIC,2004,4
YKBNK,2004,10579
YKFIN,2004,67
YKRYO,2004,4
YKSGR,2004,864
YTFYO,2004,3
YUNSA,2004,993
ZOREN,2004,272
ABANA,2005,5
ACIBD,2005,4806
ADANA,2005,401
ADEL,2005,145
AEFES,2005,1006
AFMAS,2005,518
AFYON,2005,108
AKALT,2005,597
AKBNK,2005,11186
AKCNS,2005,869
AKENR,2005,299
AKGRT,2005,462
AKIPD,2005,959
AKMGY,2005,7
AKSA,2005,586
AKSUE,2005,20
AKYO,2005,3
ALARK,2005,37
ALCAR,2005,775
ALCTL,2005,271
ALFA,2005,17
ALKA,2005,226
ALKIM,2005,138
ALNTF,2005,602
ALTIN,2005,1504
ALYAG,2005,153
ANACM,2005,1752
ANELT,2005,235
ANHYT,2005,252
ANSGR,2005,564
ARAT,2005,454
ARCLK,2005,9203
ARENA,2005,258
ARFYO,2005,4
ARSAN,2005,1243
ASLAN,2005,236
ASUZU,2005,741
ASYAB,2005,1797
ATAYO,2005,2
ATLAS,2005,4
ATSYO,2005,3
AVIVA,2005,175
AVRSY,2005,3
AYCES,2005,182
AYEN,2005,80
BAGFS,2005,326
BAKAB,2005,272
BANVT,2005,1995
BEKO,2005,3907
BERDN,2005,736
BFREN,2005,246
BIMAS,2005,7129
BISAS,2005,288
BJKAS,2005,74
BOLUC,2005,224
BOSSA,2005,1872
BOYNR,2005,1957
BRISA,2005,1467
BRMEN,2005,1765
BROVA,2005,50
BRSAN,2005,1224
BRYAT,2005,18
BSHEV,2005,2686
BSOKE,2005,331
BTCIM,2005,386
BUCIM,2005,267
BUMYO,2005,4
BURCE,2005,221
BYSAN,2005,389
CBSBO,2005,75
CELHA,2005,323
CEMTS,2005,264
CEYLN,2005,143
CIMSA,2005,663
CLEBI,2005,2786
CMBTN,2005,114
CMENT,2005,447
CMLOJ,2005,71
CYTAS,2005,311
DARDL,2005,947
DENCM,2005,760
DENIZ,2005,5724
DENTA,2005,468
DERIM,2005,47
DESA,2005,843
DEVA,2005,1302
DGATE,2005,50
DGZTE,2005,1000
DITAS,2005,576
DMSAS,2005,642
DNZYO,2005,3
DOAS,2005,1350
DOBUR,2005,361
DOHOL,2005,112
DOKTS,2005,1872
DURDO,2005,289
DYHOL,2005,55
DYOBY,2005,787
ECBYO,2005,1
ECILC,2005,113
ECYAP,2005,2055
ECZYT,2005,4
EDIP,2005,944
EFES,2005,1791
EGCYO,2005,5
EGEEN,2005,474
EGGUB,2005,160
EGPRO,2005,385
EGSER,2005,1186
EMKEL,2005,112
EMNIS,2005,105
ENKAI,2005,28815
EPLAS,2005,315
ERBOS,2005,453
EREGL,2005,7085
ERSU,2005,118
ESCOM,2005,109
ESEMS,2005,44
EVNYO,2005,2
FACFA,2005,26
FENER,2005,11
FENIS,2005,435
FFKRL,2005,83
FINBN,2005,6499
FMIZP,2005,1
FNSYO,2005,3
FRIGO,2005,469
FROTO,2005,7964
FVORI,2005,8
GARAN,2005,10524
GARFA,2005,48
GDKYO,2005,2
GEDIZ,2005,186
GENTS,2005,335
GEREL,2005,2146
GIMA,2005,3262
GLYHO,2005,36
GOLDS,2005,403
GOLTS,2005,436
GOODY,2005,1496
GRNYO,2005,5
GSDHO,2005,22
GSRAY,2005,9
GUBRF,2005,445
GUSGR,2005,312
HDFYO,2005,1
HEKTS,2005,248
HZNDR,2005,114
IBTYO,2005,2
IDAS,2005,498
IHLAS,2005,716
INDES,2005,317
INFYO,2005,4
INTEM,2005,262
IPMAT,2005,287
ISAMB,2005,205
ISBTR,2005,17111
ISFIN,2005,81
ISGSY,2005,9
ISYAT,2005,4
IZMDC,2005,697
IZOCM,2005,468
KAPLM,2005,122
KARSN,2005,724
KARTN,2005,276
KAVPA,2005,4
KCHOL,2005,183
KENT,2005,1733
KERVT,2005,948
KIPA,2005,2060
KLBMO,2005,349
KLMSN,2005,747
KNFRT,2005,121
KONYA,2005,159
KORDS,2005,1187
KOTKS,2005,395
KOZAD,2005,50
KRDMD,2005,3460
KRSTL,2005,79
KRTEK,2005,588
KUTPO,2005,767
LINK,2005,91
LIOYS,2005,149
LOGO,2005,215
LUKSK,2005,146
MAALT,2005,276
MAKTK,2005,256
MEDYA,2005,2
MEGES,2005,92
MEMSA,2005,806
MERKO,2005,32
METUR,2005,3
MIGRS,2005,6790
MIPAZ,2005,44
MMART,2005,625
MNDRS,2005,3904
MRDIN,2005,303
MRSHL,2005,445
MRTGG,2005,180
MTEKS,2005,151
MUTLU,2005,561
MYZYO,2005,1
MZHLD,2005,20
NERGS,2005,4
NETAS,2005,548
NTHOL,2005,54
NTTUR,2005,66
NUHCM,2005,441
OKANT,2005,10
OLMKS,2005,693
OTKAR,2005,988
OYSAC,2005,224
OZFIN,2005,5
PARSN,2005,665
PENGD,2005,210
PERYO,2005,3
PETKM,2005,3879
PETUN,2005,525
PIMAS,2005,177
PINSU,2005,281
PKART,2005,85
PKENT,2005,96
PNSUT,2005,713
POLYL,2005,722
PRKAB,2005,362
PRKTE,2005,468
PRTAS,2005,11
PTOFS,2005,1149
RAKSE,2005,127
RAYSG,2005,211
RKSEV,2005,60
RYSAS,2005,305
SABAH,2005,2
SAHOL,2005,206
SANKO,2005,117
SAPAZ,2005,1
SARKY,2005,592
SASA,2005,1818
SEKFK,2005,30
SELEC,2005,4926
SELGD,2005,376
SERVE,2005,83
SIFAS,2005,1221
SISE,2005,396
SKBNK,2005,3409
SKPLC,2005,957
SKTAS,2005,1296
SNPAM,2005,363
SODA,2005,936
SONME,2005,387
TACYO,2005,4
TATKS,2005,1072
TBORG,2005,209
TCELL,2005,2818
TEBNK,2005,2633
TEKFK,2005,19
TEKST,2005,1112
TEKTU,2005,138
THYAO,2005,11121
TIRE,2005,983
TKBNK,2005,740
TNSAS,2005,5169
TOASO,2005,849
TOPFN,2005,8
TRCAS,2005,179
TRNSK,2005,13
TSKB,2005,288
TSKYO,2005,2
TSPOR,2005,6
TTRAK,2005,975
TUDDF,2005,775
TUKAS,2005,924
TUMTK,2005,797
TUPRS,2005,4302
UCAK,2005,1314
UKIM,2005,1036
ULKER,2005,1052
UNTAR,2005,6
USAK,2005,525
UZEL,2005,877
VAKBN,2005,7164
VAKFN,2005,44
VAKKO,2005,693
VANET,2005,60
VESBE,2005,2978
VESTL,2005,5631
VKFRS,2005,5
VKFYT,2005,5
VKING,2005,302
YATAS,2005,1145
YAZIC,2005,5
YKBNK,2005,10211
YKFIN,2005,56
YKRYO,2005,4
YKSGR,2005,871
YTFYO,2005,3
YUNSA,2005,1198
ZOREN,2005,296
ABANA,2006,4
ACIBD,2006,4962
ADANA,2006,406
ADEL,2006,190
AEFES,2006,10971
AFMAS,2006,492
AFYON,2006,129
AKALT,2006,619
AKBNK,2006,12333
AKCNS,2006,840
AKENR,2006,269
AKGRT,2006,519
AKIPD,2006,954
AKMGY,2006,6
AKSUE,2006,20
AKYO,2006,3
ALARK,2006,39
ALCAR,2006,778
ALCTL,2006,271
ALKIM,2006,132
ALNTF,2006,680
ALTIN,2006,1800
ANACM,2006,1603
ANELT,2006,438
ANHYT,2006,273
ANSGR,2006,589
ARAT,2006,39
ARCLK,2006,10462
ARENA,2006,262
ARFYO,2006,4
ARMDA,2006,124
ARSAN,2006,1700
ASLAN,2006,254
ASUZU,2006,738
ASYAB,2006,2365
ATAYO,2006,2
ATLAS,2006,5
ATSYO,2006,3
AVIVA,2006,193
AVRSY,2006,4
AYCES,2006,170
AYEN,2006,79
BAGFS,2006,328
BAKAB,2006,255
BANVT,2006,1911
BEKO,2006,3445
BERDN,2006,736
BFREN,2006,229
BIMAS,2006,7903
BISAS,2006,256
BJKAS,2006,72
BOLUC,2006,238
BOSSA,2006,1875
BOYNR,2006,1892
BRISA,2006,1506
BRMEN,2006,1514
BROVA,2006,31
BRSAN,2006,1648
BRYAT,2006,18
BSHEV,2006,2787
BSKYO,2006,2
BSOKE,2006,325
BTCIM,2006,384
BUCIM,2006,338
BUMYO,2006,5
BURCE,2006,220
BURVA,2006,54
BYSAN,2006,324
CARFA,2006,6444
CBSBO,2006,66
CCOLA,2006,4178
CELHA,2006,312
CEYLN,2006,66
CIMSA,2006,690
CLEBI,2006,4003
CMBTN,2006,117
CMENT,2006,486
CMLOJ,2006,75
CYTAS,2006,308
DARDL,2006,947
DENCM,2006,760
DENIZ,2006,6342
DENTA,2006,490
DERIM,2006,52
DESA,2006,1246
DEVA,2006,1422
DGATE,2006,50
DGZTE,2006,1041
DITAS,2006,559
DMSAS,2006,641
DNZYO,2006,3
DOAS,2006,1646
DOHOL,2006,123
DOKTS,2006,1897
DURDO,2006,302
DYHOL,2006,49
DYOBY,2006,764
ECBYO,2006,1
ECILC,2006,96
ECZYT,2006,4
EGCYO,2006,4
EGEEN,2006,491
EGESER,2006,1194
EGFIN,2006,4
EGGUB,2006,156
EGPRO,2006,399
EMKEL,2006,123
EMNIS,2006,102
ENKAI,2006,24053
EPLAS,2006,323
ERBOS,2006,462
ERSU,2006,146
ESCOM,2006,114
EURYO,2006,2
EVNYO,2006,2
FACFA,2006,29
FENER,2006,18
FENIS,2006,464
FFKRL,2006,103
FINBN,2006,7751
FMIZP,2006,1
FNSYO,2006,3
FONFK,2006,50
FORTS,2006,4334
FRIGO,2006,261
FROTO,2006,7991
FVORI,2006,12
GARAN,2006,11905
GARFA,2006,53
GDKYO,2006,2
GEDIZ,2006,208
GENTS,2006,357
GEREL,2006,145
GLYHO,2006,39
GOLDS,2006,593
GOLTS,2006,355
GOODY,2006,1367
GRNYO,2006,5
GSDHO,2006,23
GSRAY,2006,11
GUBRF,2006,452
GUSGR,2006,341
HDFYO,2006,1
HEKTS,2006,228
HZNDR,2006,130
IBTYO,2006,2
IDAS,2006,490
IHEVA,2006,255
IHLAS,2006,763
INDES,2006,324
INFYO,2006,4
INTEM,2006,308
IPMAT,2006,296
ISBTR,2006,18729
ISFIN,2006,81
ISGSY,2006,10
IZMDC,2006,726
IZOCM,2006,420
KAPLM,2006,121
KAREL,2006,600
KARSN,2006,727
KARTN,2006,277
KAVPA,2006,3
KCHOL,2006,193
KENT,2006,1873
KIPA,2006,3497
KLBMO,2006,376
KLMSN,2006,773
KNFRT,2006,118
KOCTF,2006,124
KONYA,2006,185
KORDS,2006,1255
KOZAD,2006,43
KRDMD,2006,3355
KRSTL,2006,69
KRTEK,2006,625
KUTPO,2006,767
LINK,2006,99
LOGO,2006,243
LUKSK,2006,175
MAALT,2006,218
MAKTK,2006,214
MEGES,2006,84
MEMSA,2006,405
MERKO,2006,221
METUR,2006,3
METYO,2006,2
MIGRS,2006,12010
MIPAZ,2006,45
MMART,2006,521
MNDRS,2006,4381
MRBYO,2006,2
MRDIN,2006,309
MRSHL,2006,444
MRTGG,2006,230
MTEKS,2006,90
MUTLU,2006,558
MYZYO,2006,1
NERGS,2006,4
NETAS,2006,757
NTHOL,2006,51
NTTUR,2006,83
NUHCM,2006,447
OKANT,2006,10
OLMKS,2006,656
OTKAR,2006,958
OYAYO,2006,2
OYAYO,2006,2
OYSAC,2006,243
OZFIN,2006,7
PARSN,2006,698
PENGD,2006,210
PETKM,2006,3595
PETUN,2006,512
PIMAS,2006,178
PINSU,2006,293
PKART,2006,66
PKENT,2006,91
PNSUT,2006,701
PRKAB,2006,429
PRKTE,2006,354
PRTAS,2006,9
PTOFS,2006,1137
RAKSE,2006,85
RAYSG,2006,220
RKSEV,2006,35
RYSAS,2006,333
SAHOL,2006,212
SANKO,2006,115
SARKY,2006,616
SASA,2006,1601
SEKFK,2006,28
SELGD,2006,320
SERVE,2006,78
SIFAS,2006,1172
SILVR,2006,221
SISE,2006,400
SKBNK,2006,3370
SKPLC,2006,993
SKTAS,2006,1131
SNPAM,2006,365
SODA,2006,961
SONME,2006,274
TACYO,2006,3
TAVHL,2006,10370
TBORG,2006,195
TCELL,2006,2941
TCRYO,2006,2
TEBNK,2006,3565
TEKFK,2006,19
TEKST,2006,
TEKTU,2006,157
THYAO,2006,12807
TIRE,2006,963
TKBNK,2006,719
TKSYO,2006,3
TRCAS,2006,15
TRNSK,2006,8
TSKB,2006,297
TSKYO,2006,2
TSPOR,2006,7
TTRAK,2006,959
TUDDF,2006,747
TUKAS,2006,991
TUMTK,2006,678
UCAK,2006,1303
UKIM,2006,818
ULKER,2006,1362
USAK,2006,444
UZEL,2006,969
VAKBN,2006,7679
VAKFN,2006,41
VAKKO,2006,693
VANET,2006,64
VARYO,2006,4
VESBE,2006,2953
VESTL,2006,
VKFRS,2006,4
VKFYT,2006,7
VKING,2006,311
YATAS,2006,1145
YAZIC,2006,5
YKBNK,2006,13477
YKFIN,2006,152
YKRYO,2006,4
YKSGR,2006,861
YTFYO,2006,3
YUNSA,2006,1227
ZOREN,2006,263
ACIBD,2007,4037
ADANA,2007,498
ADEL,2007,198
AEFES,2007,11234
AFMAS,2007,531
AFYON,2007,130
AKALT,2007,630
AKBNK,2007,13513
AKCNS,2007,1056
AKENR,2007,208
AKGRT,2007,576
AKIPD,2007,832
AKMGY,2007,5
AKSA,2007,589
AKSUE,2007,20
AKYO,2007,3
ALARK,2007,40
ALCAR,2007,760
ALCTL,2007,246
ALNTF,2007,868
ALTIN,2007,1982
ALYAG,2007,138
ANACM,2007,2080
ANELT,2007,412
ANHYT,2007,533
ANSGR,2007,674
ARCLK,2007,10842
ARENA,2007,301
ARMDA,2007,130
ARSAN,2007,1585
ASLAN,2007,506
ASUZU,2007,752
