,Firm,Year,Name
842,EMEK,2000,EMEK SİGORTA A.Ş.
843,NUGYO,2000,NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
844,ISYAT,2000,İŞ YATIRIM ORTAKLIĞI A.Ş.
845,ENKA,2000,ENKA HOLDİNG YATIRIM A.Ş.
846,MRSHL,2000,MARSHALL BOYA VE VERNİK SANAYİİ AŞ
847,EMNIS,2000,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
848,ISAMB,2000,IŞIKLAR AMBALAJ SANAYİİ VE TİCARET A.Ş.
849,YKSGR,2000,YAPI KREDİ SİGORTA A.Ş.
850,UKIM,2000,UKİ ULUSLARARASI KONFEKSİYON İMALAT VE TİCARET A.Ş.  
851,DYHOL,2000,DOĞAN YAYIN HOLDİNG A.Ş.
852,TKBNK,2000,T.KALKINMA BANKASI A.Ş.
853,TEZSN,2000,"CAMİŞ LOJİSTİK HİZMETLERİ VE TİCARET A.Ş.
                          (ESKİ ÜNVANI:TEZSAN TAKIM TEZGAHLARI SANAYİİ VE TİCARET A.Ş.)"
854,UZEL,2000,UZEL MAKİNA SANAYİ A.Ş.
855,YTFYO,2000,YATIRIM FİNANSMAN YATIRIM ORTAKLIĞI A.Ş.
856,DMSAS,2000,DEMİSAŞ DÖKÜM EMAYE MAMULLERİ SANAYİİ A.Ş.
857,SONME,2000,SÖNMEZ FİLAMENT A.Ş.
858,NUHCM,2000,NUH ÇİMENTO SANAYİ A.Ş.
859,MRDIN,2000,MARDİN ÇİMENTO SANAYİİ VE TİC.A.Ş.
860,ANHYT,2000,ANADOLU HAYAT SİGORTA ANONİM ŞİRKETİ
861,MEDYA,2000,MEDYA HOLDİNG A.Ş.
862,VANET,2000,VAN-ET ENTEGRE ET SANAYİ VE TİCARET A.Ş.
863,CIMSA,2000,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
864,MZHLD,2000,MAZHAR ZORLU HOLDİNG ANONİM ŞİRKETİ
865,DERIM,2000,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİC.A.Ş.
866,TOFAS,2000,TOFAŞ OTO TİCARET A.Ş.
867,TATKS,2000,TAT KONSERVE SANAYİİ A.Ş.
868,DITAS,2000,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
869,AKBNK,2000,AKBANK T.A.Ş.
870,PENGD,2000,PENGUEN GIDA SANAYİ A.Ş.
871,BRYAT,2000,BORUSAN YATIRIM VE PAZARLAMA A.Ş.
872,AVRSY,2000,AVRASYA  MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
873,ARSAN,2000,ARSAN TEKSTİL TİCARET VE SANAYİ ANONİM ŞİRKETİ
874,APEKS,2000,APEKS DIŞ TİCARET A.Ş.
875,SNPAM,2000,SÖNMEZ PAMUKLU SANAYİİ A.Ş.
876,EREGL,2000,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.
877,RAKSE,2000,RAKS ELEKTRONİK SANAYİ VE TİCARET A.Ş
878,BAKAB,2000,BAK AMBALAJ SAN.VE TIC.A.S.
879,KENT,2000,KENT GIDA MADDELERİ SANAYİİ VE TİC.A.Ş.
880,DOBUR,2000,DOĞAN BURDA RİZZOLİ DERGİ YAYINCILIK VE PAZARLAMA A.Ş.
881,FNSYO,2000,FİNANS YATIRIM ORTAKLIĞI A.Ş.
882,VKGYO,2000,VAKIF GAYİMENKUL YATIRIM ORTAKLIĞI A.Ş.
883,ALGYO,2000,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
884,IZOCM,2000,İZOCAM TİCARET VE SANAYİ A.Ş.
885,KRDMD,2000,"KARDEMİR
KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET ANONİM ŞİRKETİ"
886,BUMYO,2000,BUMERANG YATIRIM ORTAKLIĞI A.Ş.
887,BANVT,2000,BANVİT BANDIRMA VİTAMİNLİ YEM SAN.A.Ş.
888,THYAO,2000,TÜRK HAVAYOLLARI A.O.
889,TOASO,2000,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
890,TUDDF,2000,TÜRK DEMİRDÖKÜM FABRİKALARI A.Ş.
891,TPFAC,2000,TOPRAK FACTORİNG A.Ş.
892,DISBA,2000,TÜRK DIŞ TİCARET BANKASI A.Ş.
893,ABANA,2000,ABANA ELEKTROMEKANİK SANAYİİ VE TİCARET A.Ş
894,DEVA,2000,DEVA HOLDİNG A.Ş.
895,SANKO,2000,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.
896,BRISA,2000,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş
897,EPLAS,2000,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.
898,EDIP,2000,EDİP İPLİK SANAYİ ve TİCARET A.Ş.
899,ASLAN,2000,LAFARGE ASLAN ÇİMENTO 
900,AKALT,2000,AK-AL TEKSTİL SANAYİİ A.Ş.
901,ACIBD,2000,ACIBADEM SAĞLIK HİZMETLERİ VE TİCARET A.Ş.
902,KERVT,2000,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.
903,IKTFN,2000,İKTİSAT FİNANSAL KİRALAMA A.Ş.
904,BAGFS,2000,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.
905,ALNTF,2000,ALTERNATİFBANK A.Ş
906,Atlas,2000,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
907,PRKAB,2000,TÜRK PIRELLI KABLO VE SİSTEMLERİ A.Ş.
908,BOSSA,2000,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.
909,TRNSK,2000,TRANSTÜRK HOLDİNG A.Ş.
910,ARFYO,2000,ALTERNATİF YATIRIM ORTAKLIĞI A.Ş.
911,CEMTS,2000,ÇEMTAŞ ÇELİK MAKİNE SANAYİ VE TİCARET A.Ş.
912,SKTAS,2000,SÖKTAŞ PAMUK VE TARIM ÜRÜNLERİNİ DEĞERLENDİRME TİCARET VE SANAYİ A.Ş.
913,NETAS,2000,NETAŞ Northern ElectrIc Telekomünikasyon A.Ş.
914,Ykfin,2000,YAPI KREDİ FİNANSAL KİRALAMA A.O.
915,NTHOL,2000,NET HOLDİNG A.Ş.
916,EGSDIS,2000,EGS EGE GİYİM SANAYİ VE DIŞ TİCARET A.Ş.
917,PETUN,2000,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.
918,YAZIC,2000,YAZICILAR HOLDİNG A.Ş.
919,CMBTN,2000,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ
920,ISGYO,2000,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
921,TSKB,2000,TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.
922,GRNYO,2000,GARANTİ YATIRIM ORTAKLIĞI A.Ş.
923,GOLTS,2000,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.
924,BYRBY,2000,BAYRAKLI BOYA VE VERNİK SANAYİ A.Ş.
925,SIFAS,2000,SİFAŞ SENTETİK İPLİK FABRİKALARI ANONİM ŞİRKETİ
926,LINK,2000,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SAN. VE TİC. A.Ş.
927,KEPEZ,2000,KEPEZ ELEKTRİK T.A.Ş.
928,VESTL,2000,VESTEL ELEKTRONİK SANAYİ VE TİCARET AŞ
929,UCAK,2000,USAŞ    UÇAK    SERVİSİ    A.Ş.
930,EGEEN,2000,EGE ENDÜSTRİ VE TİCARET A.Ş.
931,TOPFN,2000,TOPRAK FİNANSAL KİRALAMA A.Ş.
932,SYBNK,2000,SINAİ YATIRIM BANKASI A.Ş.
933,ALKA,2000,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.
934,LUKSK,2000,LÜKS KADİFE TİC.VE SAN.A.Ş.
935,Bspro,2000,BSH PROFİLO ELEKTRİKLİ GEREÇLER SANAYİİ A.Ş.
936,BURCE,2000,BURÇELİK-BURSA ÇELİK DÖKÜM SANAYİ A.Ş.
937,CUKEL,2000,ÇUKUROVA ELEKTRİK A.Ş.
938,OTKAR,2000,OTOKAR OTOBÜS KAROSERİ SANAYİ A.Ş.
939,ATSYO,2000,ATLANTİS YATIRIM ORTAKLIĞI A.Ş.
940,MDRNU,2000,MUDURNU TAVUKÇULUK A.Ş.
941,VARYO,2000,VARLIK YATIRIM ORTAKLIĞI A.Ş.
942,FROTO,2000,FORD OTOMOTİV SANAYİ A.Ş.
943,AKENR,2000,AK ENERJİ ELEKTRİK ÜRETİMİ OTOPRODÜKTÖR GRUBU A.Ş.
944,CLEBI,2000,ÇELEBİ HAVA SERVİSLERİ A.Ş.
945,Brmen,2000,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.
946,VAKKO,2000,VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.
947,EFES,2000,EFES SINAİ YATIRIM HOLDİNG A.Ş.
948,PTOFS,2000,PETROL OFİSİ A.Ş.
949,BYSAN,2000,BOYASAN TEKSTİL SANAYİ VE TİCARET A.Ş.
950,TBORG,2000,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.
951,KARTN,2000,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.
952,BOLUC,2000,BOLU ÇİMENTO SANAYİİ A.Ş.
953,Ateks,2000,AKIN TEKSTİL A.Ş.
954,PINSU,2000,PINAR SU SANAYİ VE TİCARET A.Ş.
955,TRCAS,2000,TURCAS PETROL A.Ş.
956,AKGRT,2000,AKSİGORTA A.Ş.
957,Maalt,2000,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.
958,BROVA,2000,BOROVA YAPI ENDÜSTRİSİ A.Ş.
959,YKGYO,2000,YAPI KREDİ KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
960,Trkcm,2000,TRAKYA CAM SANAYİİ A.Ş.
961,YATAS,2000,YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.
962,AGIDA,2000,ANADOLU GIDA SANAYİİ A.Ş.
963,BRSAN,2000,BORUSAN BİRLEŞİK BORU FABRİKALARI A.Ş.
964,USAK,2000,UŞAK SERAMİK SANAYİİ A.Ş.
965,OZFIN,2000,ÖZ FİNANS FACTORING HİZMETLERİ A.Ş.
966,MIGRS,2000,MİGROS TÜRK TİCARET A.Ş.
967,PNSUT,2000,PINAR SÜT MAMÜLLERİ SANAYİİ A.Ş.
968,KARSN,2000,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.
969,HURGZ,2000,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.
970,DUROF,2000,DURAN OFSET MATBAACILIK VE AMBALAJ SANAYİ A.Ş.
971,SEZGD,2000,SEZGİNLER GIDA SANAYİ VE TİCARET A.Ş.
972,AKCNS,2000,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
973,ASUZU,2000,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.
974,Evren,2000,EVREN MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
975,TCELL,2000,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.
976,AKFIN,2000,AKTİF FİNANS FACTORING HİZMETLERİ A.Ş.
977,KNFRT,2000,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.
978,PRTAS,2000,ÇBS PRİNTAŞ BASKI MÜREKKEPLERİ VE GEREÇLERİ SANAYİ A.Ş.
979,BISAS,2000,BİSAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
980,OLMKS,2000,"OLMUKSA INTERNATIONAL PAPER SABANCI AMBALAJ 
SAN.VE TİC.A.Ş."
981,MTEKS,2000,METEMTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
982,RKSEV,2000,"RAKSEV,RAKS ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş."
983,TNSAS,2000,TANSAŞ İZMİR BÜYÜKŞEHİR BELEDİYESİ İÇ VE DIŞ TİCARET A.Ş.
984,FENIS,2000,FENİŞ ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ
985,EGYIM,2000,EGS EGESER GİYİM SANAYİ İÇ VE DIŞ.TİC. A.Ş.
986,NTTUR,2000,NET TURİZM TİCARET VE SANAYİ ANONİM ŞİRKETİ
987,ESEMS,2000,ESEM SPOR GİYİM SANAYİ VE TİCARET A.Ş.
988,ECILC,2000,EİS ECZACIBAŞI İLAÇ SANAYİ VE TİCARET A.Ş.
989,TPBNK,2000,TOPRAKBANK A.Ş.
990,VKFRS,2000,VAKIF RİSK SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
991,MEGES,2000,MEGES BOYA SANAYİ VE TİCARET A.Ş.
992,KLMSN,2000,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.
993,TUMTK,2000,TÜMTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
994,DENCM,2000,DENİZLİ CAM SANAYİİ VE TİCARET A.Ş.
995,PIMAS,2000,PİMAŞ PLASTİK İNŞAAT MALZEMELERİ A.Ş.
996,TIRE,2000,TİRE KUTSAN OLUKLU MUKAVVA KUTU VE KAĞIT SANAYİİ A.Ş.
997,TEBNK,2000,TÜRK EKONOMİ BANKASI A.Ş.
998,ISGEN,2000,İŞ GENEL FİNANSAL KİRALAMA A.Ş.
999,HZNDR,2000,HAZNEDAR REFRAKTER SANAYİİ ANONİM ŞİRKETİ
1000,HEKTS,2000,HEKTAŞ TİCARET T.A.Ş.
1001,AKTAS,2000,AKTAŞ ELEKTRİK TİCARET A.Ş.
1002,GIMA,2000,GİMA GIDA VE İHTİYAÇ MADDELERİ TÜRK A.Ş.
1003,BEKO,2000,BEKO ELEKTRONİK A.Ş.
1004,ALCAR,2000,ALARKO CARRİER SANAYİ VE TİCARET A.Ş.
1005,AYCES,2000,ALTINYUNUS ÇEŞME TURİSTİK TESİSLERİ A.Ş
1006,KUTPO,2000,KÜTAHYA PORSELEN SANAYİ A.Ş.
1007,ANACM,2000,ANADOLU CAM SANAYİİ A.Ş.
1008,kotks,2000,KONİTEKS KONFEKSİYON END.VE TİC.A.Ş.
1009,MARET,2000,MARET MARMARA BESİCİLİK VE ET SANAYİ VE TİCARET A.Ş.
1010,MAKTK,2000,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.
1011,GORBN,2000,GORBON IŞIL SERAMİK A.Ş.
1012,CMENT,2000,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI TÜRK A.Ş.
1013,MILYT,2000,MİLLİYET GAZETECİLİK A.Ş.
1014,ECBYO,2000,ECZACIBAŞI YATIRIM ORTAKLIĞI AŞ.
1015,EGYO,2000,EGS GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
1016,ESCOM,2000,ESCORT COMPUTER ELEKTRONİK SANAYİ VE TİCARET A.Ş.
1017,IZMDC,2000,İZMİR DEMİR ÇELİK SANAYİ A.Ş.
1018,TACYO,2000,TAÇ YATIRIM ORTAKLIĞI A.Ş.
1019,POLYL,2000,POLYLEN SENTETİK İPLİK SANAYİİ A.Ş.
1020,NERGS,2000,NERGİS HOLDİNG A.Ş.
1021,SASA,2000,"SASA DUPONT SABANCI POLYESTER SANAYİ A.Ş.
SASA DUPONT SABANCI POLYESTER INC."
1022,RAYSG,2000,RAY SİGORTA A.Ş.
1023,GENTS,2000,GENTAŞ GENEL METAL SANAYİ VE TİCARET A.Ş.
1024,ALYAG,2000,ALTINYAĞ KOMBİNALARI A.Ş.
1025,DEMIR,2000,DEMİRBANK T.A.Ş.
1026,GUMUS,2000,GÜMÜŞSUYU HALI VE YER KAPLAMALARI SANAYİ VE TİCARET A.Ş.
1027,DOKTS,2000,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.
1028,Glbyo,2000,GLOBAL MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
1029,MYZYO,2000,MUSTAFA YILMAZ YATIRIM ORTAKLIĞI A.Ş.
1030,CYTAS,2000,CEYTAŞ MADENCİLİK TEKSTİL SANAYİ VE TİCARET A.Ş. 
1031,EGFIN,2000,EGS FİNANSAL KİRALAMA A.Ş.
1032,EGPRO,2000,EGE PROFİL TİCARET ve SANAYİ A.Ş.
1033,LOGO,2000,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.
1034,SELGD,2000,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.
1035,MNDRS,2000,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.
1036,AFYON,2000,AFYON ÇİMENTO SANAYİ T.A.Ş.
1037,ansgr,2000,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ
1038,OSGYO,2000,OSMANLI GAYRİMENKUL YATIRIM ORTAKLIĞI  A. Ş.
1039,ATAYO,2000,ATA YATIRIM ORTAKLIĞI A.Ş.
1040,GOODY,2000,GOODYEAR LASTİKLERİ T.A.Ş.
1041,SKPLC,2000,ŞEKER PİLİÇ ve YEM SANAYİ TİCARET ANONİM ŞİRKETİ
1042,ALTIN,2001,ALTINYILDIZ MENSUCAT VE KONFEKSİYON FABRİKALARI A.Ş.
1043,TEKTU,2001,TEK-ART TURİZM A.Ş.
1044,PKENT,2001,PETROKENT TURİZM A.Ş.
1045,adel,2001,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
1046,YASAS,2001,YASAŞ YAŞAR BOYA VE KİMYA SANAYİ VE TİCARET A.Ş.
1047,KAVPA,2001,"KAV DANIŞMANLIK, PAZARLAMA VE TİCARET A.Ş."
1048,COMUN,2001,COMMERCIAL  UNION  SİGORTA  A.Ş.
1049,PETKM,2001,PETKİM PETROKİMYA HOLDİNG A.Ş.
1050,Unyec,2001,ÜNYE ÇİMENTO SANAYİİ VE TİCARET A.Ş.
1051,DMRYO,2001,DEMİR  YATIRIM  ORTAKLIĞI  A.Ş.
1052,EGGUB,2001,EGE GÜBRE SANAYİ A.Ş.
1053,IPMAT,2001,İPEK MATBAACILIK SANAYİ VE TİCARET A.Ş.
1054,facf,2001,FACTOFİNANS ALACAK ALIMI A.Ş.
1055,DOHOL,2001,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
1056,ALFA,2001,ALFA MENKUL DEĞERLER A.Ş.
1057,BUCIM,2001,BURSA ÇİMENTO FABRİKASI A.Ş.
1058,CARSI,2001,ÇARŞI BÜYÜK MAĞAZACILIK A.Ş.
1059,Golds,2001,GOLDAŞ KUYUMCULUK SANAYİ İTHALAT İHRACAT ANONiM ŞİRKETİ
1060,FVORI,2001,FAVORİ DİNLENME YERLERİ A.Ş.
1061,KIPA,2001,KİPA KİTLE PAZARLAMA TİCARET VE GIDA SANAYİ A.Ş.
1062,mipaz,2001,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.
1063,KONYA,2001,KONYA ÇİMENTO SANAYİİ A.Ş.
1064,gusgr,2001,GÜNEŞ SİGORTA A.Ş.
1065,IHGYO,2001,İHLAS GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
1066,SARKY,2001,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİİ VE TİCARET A.Ş.
1067,ARENA,2001,ARENA BİLGİSAYAR SAN.VE TİC. A.Ş
1068,MERKO,2001,MERKO GIDA SANAYİ VE TİCARET A.Ş.
1069,sahol,2001,HACI ÖMER SABANCI HOLDİNG A.Ş.
1070,ZOREN,2001,ZORLU ENERJİ ELEKTRİK ÜRETİMİ OTOPRODÜKTÖR GRUBU A.Ş.
1071,sise,2001,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş 
1072,FMIZP,2001,FEDERAL MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.
1073,ARCLK,2001,ARÇELİK A.Ş.
1074,PRKTE,2001,PARK ELEKTRİK MADENCİLİK TEKSTİL SANAYİ VE TİCARET A.Ş.
1075,CELHA,2001,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
1076,emkel,2001,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.
1077,GLMDE,2001,GLOBAL MENKUL DEĞERLER A.Ş.
1078,FFKRL,2001,FİNANS FİNANSAL KİRALAMA A.Ş.
1079,LIOYS,2001,LİO YAĞ SANAYİ VE TİCARET A.Ş.
1080,GARAN,2001,T.GARANTİ BANKASI A.Ş
1081,NIGDE,2001,OYSA NİĞDE ÇİMENTO SANAYİİ VE TİC.A.Ş.
1082,MUTLU,2001,MUTLU AKÜ VE MALZEMELERİ SANAYİİ A.Ş.
1083,gediz,2001,GİMSAN GEDİZ İPLİK VE MENSUCAT SANAYİİ A.Ş.
1084,EGSER,2001,EGE SERAMİK SANAYİ VE TİCARET A.Ş.
1085,KCHOL,2001,KOÇ HOLDİNG A.Ş.
1086,metas,2001,          METAŞ İZMİR METALURJİ FABRİKASI T.A.Ş.
1087,ARAT,2001,ARAT TEKSTİL SANAYİ VE TİCARET A.Ş.
1088,ihlas,2001,İHLAS HOLDİNG A.Ş.
1089,egiym,2001,EGS EGESER GİYİM SANAYİ İÇ VE DIŞ TİCARET A.Ş.
1090,SODA,2001,SODA SANAYİİ A.Ş.
1091,PASTA,2001,PASTAVİLLA MAKARNACILIK SANAYİ VE TİCARET A.Ş.
1092,ADANA,2001,ADANA ÇİMENTO SANAYİİ T.A.Ş.
1093,AKYO,2001,AK YATIRIM ORTAKLIĞI A.Ş.
1094,YKBNK,2001,YAPI ve KREDİ BANKASI A.Ş.
1095,TUPRS,2001,TÜPRAŞ TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
1096,gsdho,2001,GSD HOLDİNG A.Ş.
1097,FINBN,2001,FİNANSBANK A.Ş.
1098,PARSN,2001,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
1099,YKRYO,2001,YAPI KREDİ YATIRIM ORTAKLIĞI A.Ş.
1100,dogub,2001,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.
1101,AKSA,2001,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
1102,KLBMO,2001,KELEBEK MOBİLYA VE KONTRPLAK SANAYİ A.Ş.
1103,AGYO,2001,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
1104,UNTAR,2001,ÜNAL TARIM ÜRÜNLERİ İHRACAT VE SANAYİ A.Ş.
1105,vkfyt,2001,VAKIF MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
1106,dardl,2001,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.
1107,ALARK,2001,		ALARKO HOLDİNG A.Ş.
1108,KORDS,2001,"KORDSA SABANCI DUPONT ENDÜSTRİYEL İPLİK VE KORD BEZİ 
SANAYİ VE TİCARET A.Ş."
1109,FRIGO,2001,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.
1110,BSOKE,2001,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş
1111,AYEN,2001,AYEN ENERJİ A.Ş.
1112,CMLOJ,2001,CAMİŞ LOJİSTİK HİZMETLERİ VE TİC.A.Ş.
1113,Kaplm,2001,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş
1114,akipd,2001,AKSU İPLİK DOKUMA VE BOYA APRE FABRİKALARI T.A.Ş.
1115,denta,2001,DENTAŞ AMBALAJ VE KAĞIT SANAYİ A.Ş.
1116,MMART,2001,MARMARİS MARTI OTEL İŞLETMELERİ A.Ş.
1117,GDKYO,2001,GEDİK YATIRIM ORTAKLIĞI A.Ş
1118,VKING,2001,VİKİNG KAĞIT VE SELÜLOZ A.Ş.
1119,EHGOL,2001,EGS HOLDİNG A.Ş.
1120,GUBRF,2001,GÜBRE FABRİKALARI T.A.Ş.
1121,AYGAZ,2001,AYGAZ A.Ş.
1122,AEFES,2001,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş
1123,VAKFN,2001,VAKIF FİNANSAL KİRALAMA A.Ş.
1124,ECZYT,2001,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI AŞ.
1125,YUNSA,2001,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.
1126,BTCIM,2001,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.
1127,SKBNK,2001,ŞEKERBANK  T.A.Ş.
1128,ALKIM,2001,ALKİM ALKALİ KİMYA A.Ş.
1129,erbos,2001,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.
1130,KRTEK,2001,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.
1131,ECYAP,2001,ECZACIBAŞI YAPI GEREÇLERİ SANAYİ VE TİCARET A.Ş.
1132,RANTL,2001,RANT FİNANSAL KİRALAMA A.Ş.
1133,ERSU,2001,ERSU MEYVE VE GIDA SANAYİ A.Ş.
1134,MEMSA,2001,MENSA MENSUCAT SANAYİ VE TİCARET A.Ş.
1135,SERVE,2001,SERVE KIRTASİYE SANAYİ VE TİCARET A.Ş.
1136,ISBTR,2001,TÜRKİYE İŞ BANKASI A.Ş.
1137,EGDIS,2001,EGS EGE GİYİM SANAYİ VE DIŞ TİCARET A.Ş.
1138,krstl,2001,KRİSTAL KOLA VE MEŞRUBAT SAN.TİC.A.Ş.
1139,IHEVA,2001,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.
1140,CBSBO,2001,ÇBS BOYA KİMYA SANAYİ VE TİCARETİ A.Ş.
1141,ALCTL,2001,ALCATEL TELETAŞ TELEKOMÜNİKASYON ENDÜSTRİ TİCARET A.Ş.
1142,TUKAS,2001,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.
1143,TEKST,2001,TEKSTİL BANKASI A.Ş.
1144,AKSUE,2001,AKSU ENERJİ VE TİCARET A.Ş.
1145,idas,2001,İDAŞ - İSTANBUL DÖŞEME SANAYİİ A.Ş.
1146,berdn,2001,BERDAN TEKSTİL SANAYİ VE TİCARET A.Ş.
1147,ASELS,2001,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.
1148,bfren,2001,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
1149,OKANT,2001,OKAN TEKSTİL SANAYİ VE TİCARET A.Ş.
1150,CEYLN,2001,CEYLAN GİYİM SANAYİ VE TİCARET A.Ş.
1151,NUGYO,2001,NUROL GAYRİMENKUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
1152,ISYAT,2001,İŞ YATIRIM ORTAKLIĞI A.Ş.
1153,ENKA,2001,ENKA HOLDİNG YATIRIM A.Ş.
1154,MRSHL,2001,MARSHALL BOYA VE VERNİK SANAYİİ AŞ
1155,EMNIS,2001,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
1156,ISAMB,2001,IŞIKLAR AMBALAJ SANAYİİ VE TİCARET A.Ş.
1157,YKSGR,2001,YAPI KREDİ SİGORTA A.Ş.
1158,UKIM,2001,UKİ ULUSLARARASI KONFEKSİYON İMALAT VE TİCARET A.Ş.
1159,DYHOL,2001,DOĞAN YAYIN HOLDİNG A.Ş.
1160,tkbnk,2001,TÜRKİYE KALKINMA BANKASI A.Ş.
1161,UZEL,2001,UZEL MAKİNA SANAYİ A.Ş.
1162,YTFYO,2001,YATIRIM FİNANSMAN YATIRIM ORTAKLIĞI A.Ş.
1163,SOKSA,2001,SİNOP ÖRME VE KONFEKSİYON SAN.VE TİCARET A.Ş
1164,DMSAS,2001,DEMİSAŞ DÖKÜM EMAYE MAMULLERİ SANAYİİ A.Ş.
