,Firm,Year,Name
78,ISBTR,1998,TÜRKİYE İŞ BANKASI A.Ş.
79,EGDIS,1998,EGS EGE GİYİM SANAYİ VE DIŞ TİCARET A.Ş.
80,KRSTL,1998,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET ANONİM ŞİRKETİ
81,Turcas,1998,KURULUŞ TARİHİ
82,IHEVA,1998,İHLAS EV ALETLERİ SAN VE TİC.  A.Ş.
83,CBSBO,1998,ÇBS BOYA KİMYA SANAYİİ VE TİCARETİ A.Ş.
84,ALCTL,1998,"ALCATEL TELETAŞ 
TELEKOMÜNİKASYON ENDÜSTRİ TİCARET A.Ş."
85,TUKAS,1998,TUKAŞ TURGUTLU KONSERVECİLİK A.Ş.
86,TEKST,1998,TEKSTİL BANKASI AŞ.
87,IDAS,1998,İDAŞ – İSTANBUL DÖŞEME SANAYİİ A. Ş.
88,BERDN,1998,BERDAN TEKSTİL SANAYİ VE TİCARET A.Ş.
89,BFREN,1998,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
90,okant,1998,OKAN TEKSTİL SANAYİ VE TİCARET A.Ş.
91,CEYLN,1998,CEYLAN GİYİM SANAYİ VE TİCARET ANONİM ŞİRKETİ
92,EMEK,1998,EMEK SİGORTA A.Ş.
93,ISYAT,1998,İŞ YATIRIM ORTAKLIĞI A.Ş.
94,ENKA,1998,ENKA HOLDİNG YATIRIM A.Ş.
95,MRSHL,1998,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.
96,EMNIS,1998,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
97,ISAMB,1998,IŞIKLAR AMBALAJ SANAYİİ VE TİCARET AŞ.
98,UKIM,1998,UKİ ULUSLAR ARASI KONFEKSİYON İMALAT VE TİCARET A.Ş.
99,DYHOL,1998,DOĞAN YAYIN HOLDİNG A.Ş.
100,TKBNK,1998,TÜRKİYE KALKINMA BANKASI A.Ş.
101,TEZSN,1998,"
TEZSAN TAKIM TEZGAHLARI SANAYİ VE TİCARET A.Ş."
102,UZEL,1998,UZEL MAKİNA SANAYİİ A.Ş.
103,SOKSA,1998,"SÖKSA - SİNOP ÖRME VE KONFEKSİYON
SANAYİ VE TİCARET A.Ş"
104,ASELS1,1998,ASELSAN ELEKTRONİK VE TİCARET SANAYİ A.Ş.
105,DMSAS,1998,DEMİSAŞ DÖKÜM EMAYE MAMULLERİ SANAYİİ ANONİM ŞİRKETİ
106,SONME,1998,SÖNMEZ FİLAMENT A.Ş.
107,KAVOR,1998,KAV ORMAN SANAYİİ A.Ş
