Firm;Year;EstInvAmount;unitEA;RealizedInvAmount;unitRA;Inv_Name;beg_date;end_date
KRDMD;2002;23.337.113;(Milyon-Million TL);23.337.113;(Milyon-Million TL);Yeni Çelikhane Modernizasyonu;1995-01-01;2002-01-01
KRDMD;2002;-;(Milyon-Million TL);332.660;(Milyon-Million TL); (Other Investments);2002-01-01;2002-01-01
KRSTL;2002;--;(Milyon-Million TL);--;(Milyon-Million TL);--;2002-01-01;2002-01-01
KRTEK;2002;25.000.000;(Milyon-Million TL);20.588.000;(Milyon-Million TL);TOTALY NEW INVESTMENT;2002-07-09;1995-01-01
LINK;2002;147.292;(Milyon-Million TL);239.148;(Milyon-Million TL);MIDERNİZASYON,OFİS OTOMASYONU;1998-11-11;2003-12-31
LOGO;2002;1.573.212 TL;(Milyon-Million TL);5.109.058 TL;(Milyon-Million TL);"BİLGİSAYAR YAZILIM GELİŞTİRME KAMPÜSÜ
(SOFTWARE DEVELOPMENT CAMPUS)";1997-02-01;2003-12-31
LUKSK;2002;------------;(Milyon-Million TL);------------;(Milyon-Million TL);---------------;2002-01-01;2002-01-01
MAALT;2002;1,568,881;(Milyon-Million TL);1,034,853;(Milyon-Million TL);MODERNİZASYON;2002-12-03;2002-01-01
MAKTK;2002;--;(Milyon-Million TL);--;(Milyon-Million TL);--;2002-01-01;2002-01-01
MARET;2002;40.000;(Milyon-Million TL);25.160;(Milyon-Million TL);"SICAK SU VE BUHAR BORU DEVR
 (HOT WATER AND STEAM LINES RECONSTRUCTION)";2002-03-01;2003-12-01
MARET;2002;140.000;(Milyon-Million TL);123.847;(Milyon-Million TL);"ETILEN GLIKOL BORU HATL.IZOLASYONU
 (ETILEN GLYCOL LINES INSULATION)";2001-12-01;2003-12-01
MARET;2002;61.000;(Milyon-Million TL);"49.395
";(Milyon-Million TL);"VAKUMLANMIŞ ET TRANS.KONV.
 (BELT CONVEYOR FOR THE VACUUM PACKS)";2002-04-01;2003-11-01
MARET;2002;69.000;(Milyon-Million TL);62.616;(Milyon-Million TL);"SOĞUK MUH DEPO EVOP.BAĞL.
 (EVAPORATOR FOR COOLING ROOM)";2002-11-01;2003-10-01
